##*************************************
#Arabic Stop word list for morphology analysis and information retrival
#  Most frequent stopwords in Tahskeela Corpus, useful for Classical Arabic
#Corpus Version samples/.csv: 
#Version        : 0.9
#Generated at   : 23.02.02-12:12 
#Author         : Taha Zerrouki 
#Web            : http://arabicstopwords.sf.net
#Source         : http://github.com/linuxscout/arabicstopwords
#*************************************
في	1792987
من	1285093
على	910102
لا	824827
أن	787721
أو	725196
عن	664223
بن	558624
ما	556479
عليه	542714
أي	434601
كان	409891
لم	401763
له	356467
ذلك	347592
إذا	347094
إلى	339625
ولا	317628
به	315811
أنه	284173
إن	282766
وإن	273482
فيه	262233
لأن	261868
وهو	250564
ثم	247535
ابن	245821
هذا	239319
كما	233583
فإن	226480
إلا	223032
فلا	202947
لو	197098
لأنه	196033
ولو	194756
بعد	171845
هو	170684
غير	165315
أبي	155452
أبو	149784
ه	142446
مع	138669
منه	138373
عنه	129711
قبل	129681
وفي	125751
كل	119828
الذي	118790
حتى	116847
عند	112681
وقد	104062
بين	99147
فيها	98619
ولم	97664
بأن	95958
لما	90466
بها	88631
قد	86365
بل	85873
ليس	83694
هذه	82247
فيما	80614
إليه	79700
وأما	79189
أيضا	75484
فإنه	75204
ثنا	75132
كذا	75080
وهذا	73055
وما	70647
ومن	70603
غيره	69925
لها	68134
وكذا	67253
بما	65118
فهو	64744
وإلا	63536
إنما	61386
بعض	58914
منها	57031
و	57015
إذ	56474
فإذا	55719
التي	53636
هنا	53258
وإنما	51538
وهي	51153
عليها	50801
حيث	50668
مما	50456
وإذا	49120
أما	49090
أم	49031
دون	48220
بذلك	45489
لكن	44775
منهما	42593
علي	42342
نفسه	42313
وليس	40329
كذلك	39959
فقد	39871
بلا	38399
وغيره	38219
أنها	37593
مثل	37177
وكان	36745
بينهما	36717
وعلى	35416
بغير	34841
هي	34759
لأنها	34577
فلو	34509
ش	34241
وعن	33226
نعم	32987
فلم	32725
لهم	31269
هل	30469
وقت	30390
أكثر	30159
وكذلك	29601
منهم	29527
أخذ	29383
وذلك	28546
فقط	27968
معه	27864
وأن	27103
عنده	26858
وابن	26429
نحو	26023
بعده	25832
فكان	25367
جميع	25313
بأنه	24981
أبيه	24630
إنه	24598
عنها	24311
بعضهم	24302
فعل	24225
أنا	24060
عليهم	23980
لي	23748
حين	23265
وبين	23115
لمن	23057
وعليه	22854
مثله	22303
ع	22183
وفيه	22147
ولا	21977
كله	21216
تلك	21186
ولكن	21005
أنت	20527
فلان	20462
أول	20401
م	19947
فلما	19902
الأب	19717
فله	19313
لك	19285
وله	18569
فما	18517
فليس	18475
ونحوه	18086
فيهما	17534
بهذا	17446
حينئذ	17382
جعل	17277
ولأن	17150
أبا	16702
وبه	16649
ألا	16505
صار	16504
ص	16504
رب	16220
لهما	16202
ر	16168
إليها	16110
وأبو	15900
رجع	15772
غيرها	15765
فمن	15760
وهب	15682
عين	15659
ففي	15542
الذين	15344
ممن	15136
وكل	15032
فهي	14632
لكل	14575
فهل	14296
ولهذا	14258
كأن	14162
إما	13976
أقل	13865
مرة	13765
لذلك	13463
فعلى	13161
فأما	13000
أولا	12993
ضمن	12823
وعند	12769
عما	12348
ح	12314
إذن	12286
وأنه	12210
فهذا	12121
كلها	11779
عندنا	11740
أصلا	11530
ومنها	11485
فإنها	11423
بنفسه	11395
لنفسه	11377
عنهما	11315
تحت	11267
عليهما	11009
هكذا	11008
ليست	10745
بينه	10735
فعليه	10720
وهل	10715
لنا	10526
والذي	10444
بحيث	10411
هناك	10400
أنهم	10285
بهما	10114
فكذلك	10079
بدون	10075
وهم	9979
نفس	9972
وغيرهم	9943
لغيره	9814
عليك	9634
قام	9519
كيف	9409
عنهم	9391
إني	9348
فصار	9315
لغير	9299
شهر	9196
ولأنه	9192
يمين	9172
وعنه	9117
بعضه	9040
أكل	8834
بهم	8794
يمينه	8694
ذي	8641
وهذه	8573
وغيرها	8463
لابن	8414
ومثله	8394
نحوه	8040
بعضها	8032
بينهم	7979
نفسها	7923
بعدها	7794
لأنهم	7718
فأنت	7672
ولي	7644
وغير	7601
لكنه	7518
لكان	7503
ولما	7495
متى	7308
لئلا	7297
عندي	7231
وأبي	7199
عاد	7181
أجل	7149
مثلها	7137
ونحوها	7043
لكم	7015
وغيرهما	6975
فكيف	6974
وحينئذ	6937
ومنه	6912
معها	6912
وأنا	6911
فوق	6893
إليهم	6892
سبحانه	6872
هم	6869
وهما	6822
بعينه	6805
سوى	6800
كلا	6790
لأنهما	6724
ل	6695
الآن	6657
ق	6635
بكل	6513
خلف	6469
شرع	6453
فكذا	6445
هؤلاء	6422
عليكم	6407
كأنه	6387
ابنه	6349
فيهم	6342
وأخذ	6312
ذات	6263
ولذا	6128
أنهما	6075
حم	5946
إياه	5925
أبدا	5887
بهذه	5880
فإنما	5864
عينه	5856
لهذا	5809
كم	5733
عندهما	5690
ففيه	5616
وإلى	5543
إنها	5538
بمثل	5519
مني	5401
بيد	5385
وبعد	5324
علينا	5299
كمن	5281
أشبه	5273
ومع	5265
وقبل	5249
منك	5189
ولعل	5175
ونحو	5106
ومثل	5023
لأنا	5007
إلي	4975
وجعل	4923
ذو	4909
وهكذا	4882
فذلك	4880
كلهم	4857
قط	4816
غيرهما	4768
نحن	4760
وإما	4754
هاهنا	4753
منكم	4752
عوض	4713
بحسب	4711
لأبي	4710
فهم	4701
ولنا	4671
ولذلك	4666
وفيما	4625
معاذ	4620
ذاك	4618
وبهذا	4587
عندهم	4579
فلأن	4558
بمثله	4558
ط	4556
بغيره	4469
كلاهما	4461
ذا	4446
غيرهم	4437
وعندهما	4405
لقد	4340
أيها	4299
ولكنه	4292
وفيها	4270
بعدما	4260
بنحو	4166
فجعل	4146
أبي	4121
بجميع	4117
إليك	4104
بمن	4074
علق	4073
فلهذا	4052
عامة	4037
وأيضا	3991
هما	3962
فهذه	3940
جدا	3925
آنفا	3886
الأخ	3882
معهم	3866
ومنهم	3857
أني	3832
فلها	3823
وقتها	3820
أوله	3800
نفسي	3799
فأكثر	3793
وكما	3765
على	3734
وأنت	3701
ببعض	3698
وصار	3686
بأنها	3681
فكأنه	3673
عدا	3654
أكله	3648
هذين	3642
ب	3632
فلذلك	3618
لعل	3586
أعني	3534
فكل	3516
أثناء	3505
عني	3464
ولها	3407
فحينئذ	3399
إنا	3344
حول	3328
وهنا	3320
فقام	3319
أب	3306
ف	3290
أين	3274
ك	3272
ت	3259
منهن	3234
فإنهم	3223
وقته	3205
زمان	3202
لبعض	3192
فأخذ	3191
ضمنه	3187
ساعة	3155
يومئذ	3132
أخيه	3126
ولعله	3104
بأكثر	3055
خلفه	3034
إنك	3032
ونحوهما	3022
غدا	3022
إلي	3014
بك	3013
كلما	3006
ونحن	2990
ومتى	2958
حسب	2876
إلينا	2838
وحيث	2827
ومما	2823
شبه	2774
وراء	2767
إلا	2747
لولا	2731
نفسك	2728
وبما	2726
وإليه	2702
وكله	2665
بنفس	2665
بينها	2662
فكما	2600
وإنه	2598
فإني	2591
أعلى	2576
حي	2560
بي	2545
فلأنه	2491
ذوي	2474
لهن	2463
لعله	2457
إياها	2453
أنك	2447
وليست	2423
بعين	2408
بعينها	2397
بأقل	2389
جميعه	2374
بلى	2372
وبعده	2360
وكأنه	2356
إليهما	2351
أنفسهم	2339
ج	2323
سواه	2322
تحته	2311
أباه	2311
أيهما	2295
أمن	2259
فهما	2231
وعلي	2224
بتلك	2223
خلا	2220
كغيره	2168
بدونه	2161
منذ	2155
ورجع	2150
أبوه	2134
ولك	2131
فلذا	2130
أخي	2127
إلى	2121
بنا	2116
